dataset,method,compression_ratio,file_size_mb,write_time,read_time,write_throughput_gbs,read_throughput_gbs,bytes_read,actual_io_bytes,chunk_size,creation_time,conversion_time,run_number,run_directory
4D_Diff-4x4-binning,balanced_blosc_lz4hc,5.302442088607521,193.11856365203855,9.979089498519896,0.3519666194915771,0.1002095431800987,2.841178522680702,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_blosc_zlib,6.934932662728151,147.65824699401855,15.76767897605896,1.7561991214752195,0.0634208751661142,0.5694115136329148,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_blosc_zstd,6.7213924825633855,152.349383354187,4.712328672409058,0.7776591777801514,0.2122093065908273,1.2859103686714357,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_lz4_hdf5,3.8329271672789074,267.1587419509888,1.3895940780639648,1.1378676891326904,0.7196346154506055,0.8788368011066591,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_bitshuffle_lz4,4.172008979576066,245.4453010559082,1.1075072288513184,0.4538769721984863,0.9029286436686988,2.203240219824784,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_none,0.9960240070041368,1028.0876693725586,0.6533474922180176,0.4693591594696045,1.5305790745521173,2.1305645790103296,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_gzip_1,4.836002199333715,211.74514770507807,7.431217432022095,2.7254481315612797,0.1345674526613726,0.366912137648038,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_gzip_6,5.824817935283428,175.79948616027832,25.117553234100345,2.461300611495972,0.0398127950871572,0.4062892583414274,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_gzip_9,6.0153480582518695,170.2312135696411,127.69046235084534,2.324684858322144,0.0078314384769974,0.4301658336269099,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_lzf,3.7006444360768938,276.70856189727783,4.666344165802002,2.796905517578125,0.214300524022349,0.3575379982323866,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_szip,2.704201512924309,378.6700048446655,6.520653486251831,5.196100234985352,0.1533588622840339,0.1924520226278543,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_blosc_blosclz,3.686446184641112,277.7742977142334,2.6485788822174072,0.9604556560516356,0.3775609655102262,1.0411724827681563,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_blosc_lz4,3.570307519819506,286.8100280761719,1.4258198738098145,0.754863977432251,0.7013508637160341,1.3247419798751092,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_blosc_lz4hc,4.515497891314765,226.77454948425293,9.578933715820312,0.627408504486084,0.1043957531878967,1.5938578977648843,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_blosc_zlib,6.214888968477374,164.76561450958252,17.644920825958252,2.640456199645996,0.0566735328462825,0.3787224344543451,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_blosc_zstd,6.265391969407266,163.4375,6.841633319854736,1.0927865505218506,0.1461639280050209,0.9150917894464008,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
