dataset,method,n_runs,compression_ratio_mean,compression_ratio_std,compression_ratio_min,compression_ratio_max,compression_ratio_median,compression_ratio_cv_percent,file_size_mb_mean,file_size_mb_std,file_size_mb_min,file_size_mb_max,file_size_mb_median,file_size_mb_cv_percent,write_time_mean,write_time_std,write_time_min,write_time_max,write_time_median,write_time_cv_percent,read_time_mean,read_time_std,read_time_min,read_time_max,read_time_median,read_time_cv_percent,write_throughput_gbs_mean,write_throughput_gbs_std,write_throughput_gbs_min,write_throughput_gbs_max,write_throughput_gbs_median,write_throughput_gbs_cv_percent,read_throughput_gbs_mean,read_throughput_gbs_std,read_throughput_gbs_min,read_throughput_gbs_max,read_throughput_gbs_median,read_throughput_gbs_cv_percent,chunk_size
4D_Diff,real_space_blosc_zlib,10,9.871112116825618,1.8724445165742407e-15,9.87111211682562,9.87111211682562,9.87111211682562,1.896893171117569e-14,829.8963584899902,0.0,829.8963584899902,829.8963584899902,829.8963584899902,0.0,41.93833682537079,0.23917572270727375,41.576075077056885,42.29671669006348,42.00626301765442,0.5703033091254665,10.41479721069336,0.04107486533407521,10.384607553482056,10.52497625350952,10.401461720466614,0.3943894874102946,0.19076184641910315,0.0010897236482874891,0.1891399764814225,0.1924183556329654,0.1904477910590623,0.5712482179970988,0.7681485237857182,0.003005449820798834,0.7600967268056709,0.7703709513141423,0.7691226709778962,0.39125894638017045,"(32, 32, 256, 256)"
4D_Diff,real_space_blosc_zstd,10,10.199715902620571,0.0,10.199715902620571,10.199715902620571,10.199715902620571,0.0,803.1596250534058,0.0,803.1596250534058,803.1596250534058,803.1596250534058,0.0,20.64703631401062,0.16895086532351947,20.46350646018982,20.98135089874268,20.614612936973572,0.8182814363961436,3.998721790313721,0.03022944176365454,3.934257030487061,4.043621301651001,3.994674563407898,0.7559776185700301,0.38748799074980556,0.0031477145130363758,0.3812909873443567,0.3909398428643393,0.3880742918387528,0.8123385984028604,2.000742726004849,0.01520060111399093,1.9784246355447823,2.033420780088077,2.00266627154703,0.7597479134333283,"(32, 32, 256, 256)"
4D_Diff,real_space_gzip_1,10,6.966137944908084,0.0,6.966137944908084,6.966137944908084,6.966137944908084,0.0,1175.9744157791138,0.0,1175.9744157791138,1175.9744157791138,1175.9744157791138,0.0,31.185274171829224,0.43740452215182807,30.58108139038086,31.78512191772461,31.095643043518066,1.402599572290922,11.049166393280029,0.19736364575248352,10.774569511413574,11.327515363693236,10.999202609062195,1.7862310940716553,0.25657662277570914,0.0035878310424811554,0.2516900838294061,0.2615996438411221,0.25727199228357334,1.3983468188438661,0.7242441897113073,0.012919048959168048,0.7062449039479095,0.742489061073442,0.7273277082721887,1.7837973908106517,"(32, 32, 256, 256)"
4D_Diff,real_space_gzip_6,10,7.754707010516606,9.362222582871203e-16,7.754707010516605,7.754707010516605,7.754707010516605,1.2072954619916075e-14,1056.3906526565552,0.0,1056.3906526565552,1056.3906526565552,1056.3906526565552,0.0,129.94258110523225,1.0943293786293171,128.26247882843018,131.87384390830994,130.0354528427124,0.8421637998271632,12.294854092597962,0.15405237688057902,12.098912477493286,12.555742979049684,12.231334209442139,1.2529825544926578,0.061569583604368074,0.000518462553842963,0.0606640389246732,0.0623720987858122,0.06152169898670895,0.8420757840015349,0.6507702920934342,0.008120180868169095,0.637158630385209,0.6612164535351264,0.6540592770338516,1.2477798951220782,"(32, 32, 256, 256)"
4D_Diff,real_space_gzip_9,10,8.084089582144532,0.0,8.084089582144532,8.084089582144532,8.084089582144532,0.0,1013.3484935760498,0.0,1013.3484935760498,1013.3484935760498,1013.3484935760498,0.0,504.64335334300995,1.3998254689482503,502.4575185775757,506.2241449356079,504.935222029686,0.2773890629243616,11.110549092292786,0.30600929385551745,10.718129873275757,11.557039737701416,11.0700763463974,2.7542229579615585,0.015852889735479603,4.400262376405506e-05,0.0158032762364932,0.0159217440364858,0.0158436229991423,0.2775684717315284,0.7205261518842495,0.019761146947269825,0.6922187845302955,0.7463988675810829,0.7226709895643971,2.7425995427913903,"(32, 32, 256, 256)"
4D_Diff,real_space_lz4_hdf5,10,4.9544944829273785,9.362222582871203e-16,4.954494482927378,4.954494482927378,4.954494482927378,1.889642346990667e-14,1653.448203086853,0.0,1653.448203086853,1653.448203086853,1653.448203086853,0.0,7.891869139671326,0.07208851795622293,7.748565196990967,8.011748313903809,7.909014701843262,0.9134530322334413,7.070060515403748,0.07351856138216334,6.969176530838013,7.246300935745239,7.0632264614105225,1.039857597003396,1.0137779611785647,0.00929486532370935,0.9985336142070989,1.032449207900667,1.0115061107530328,0.9168541514656356,1.1316408850990194,0.01163152410398454,1.1040115599583842,1.1479118034391411,1.132627037276991,1.0278458702883269,"(32, 32, 256, 256)"
4D_Diff,real_space_lzf,10,5.193081621452732,9.362222582871203e-16,5.193081621452731,5.193081621452731,5.193081621452731,1.8028260030028528e-14,1577.4833898544312,0.0,1577.4833898544312,1577.4833898544312,1577.4833898544312,0.0,25.22827281951904,0.25180935647034935,24.976263999938965,25.86450171470642,25.174798846244812,0.998123645926031,17.704650855064394,0.08874226612890208,17.5601544380188,17.818450212478638,17.723145842552185,0.501237030062739,0.3171325372817687,0.0031161759073099066,0.309304238227456,0.3203041095345385,0.3177787869695866,0.9826099630203567,0.45186891141375973,0.0022701224143105974,0.4489728289836021,0.4555768588617601,0.4513873580863187,0.502385173436269,"(32, 32, 256, 256)"
4D_Diff,real_space_none,10,0.9999994114044792,0.0,0.9999994114044792,0.9999994114044792,0.9999994114044792,0.0,8192.004821777344,0.0,8192.004821777344,8192.004821777344,8192.004821777344,0.0,3.9423283338546753,0.05463184665679585,3.859284400939941,4.024996042251587,3.955399990081787,1.3857761716000625,1.6590448141098022,0.05183350493496028,1.5504262447357178,1.7219717502593994,1.658790111541748,3.124298059589952,2.0296096411426543,0.028223064622762573,1.9875795941217356,2.0729231559227856,2.0225722347705894,1.3905661488123997,4.8263849891103625,0.1542095409234546,4.645836959168972,5.159871375476918,4.822804548499674,3.1951355159481323,"(32, 32, 256, 256)"
4D_Diff,real_space_szip,10,8.987963565506591,0.0,8.987963565506591,8.987963565506591,8.987963565506591,0.0,911.4411668777466,0.0,911.4411668777466,911.4411668777466,911.4411668777466,0.0,19.6033766746521,0.12878336451488664,19.44590449333191,19.786466360092163,19.559978127479553,0.6569448042153286,15.865055227279663,0.0960803127111196,15.729450464248655,16.043577909469604,15.860440254211426,0.6056096958673759,0.40810877837087406,0.0026755458695841817,0.404316761487812,0.411397680305549,0.40899884078089077,0.6555962555534018,0.5042694898758782,0.0030450385970907843,0.4986418893056304,0.5086000949736379,0.5044009808725766,0.603851444163377,"(32, 32, 256, 256)"
4D_Diff,simple_gzip,10,8.084133998084216,1.8724445165742407e-15,8.084133998084218,8.084133998084218,8.084133998084218,2.3161967837469964e-14,1013.3429260253906,0.0,1013.3429260253906,1013.3429260253906,1013.3429260253906,0.0,1351.895983147621,2.753193671011118,1348.177160739899,1356.0757496356964,1352.3521646261215,0.20365425338426213,,,,,,,,,,,,,,,,,,,
